S.NO.,NAME OF THE COLLEGE,NAME OF THE PROGRAM,UR,OBC,SC,ST,EWS,SIKH,PwBD
1,Acharya Narendra Dev College,B.Com (Hons.),4,0,0,4,0,0,6
2,Acharya Narendra Dev College,B.Sc (Hons.) Biomedical Science,0,2,0,0,0,0,1
3,Acharya Narendra Dev College,B.Sc (Hons.) Botany,0,7,1,1,3,0,2
4,Acharya Narendra Dev College,B.Sc (Hons.) Chemistry,2,5,5,5,2,0,3
5,Acharya Narendra Dev College,B.Sc (Hons.) Computer Science,1,0,0,0,0,0,3
6,Acharya Narendra Dev College,B.Sc (Hons.) Electronics,8,5,3,5,2,0,3
7,Acharya Narendra Dev College,B.Sc (Hons.) Physics,7,8,2,4,2,0,3
8,Acharya Narendra Dev College,B.Sc (Hons.) Zoology,3,2,1,1,1,0,2
9,Acharya Narendra Dev College,B.Sc (Prog.) Life Science,2,1,3,2,3,0,3
10,Acharya Narendra Dev College,B.Sc (Hons.) Mathematics,0,1,1,3,0,0,3
11,Acharya Narendra Dev College,B.Sc (Prog.) Physical Science With Chemistry,6,3,3,2,2,0,3
12,Acharya Narendra Dev College,B.Sc (Prog.) Physical Science With Computer Science/ Informatics Practices,2,7,0,4,2,0,3
13,Acharya Narendra Dev College,B.Sc (Prog.) Physical Science With Electronics,8,9,7,4,4,0,3
14,Aditi Mahavidyalaya (W),B.A. (Hons.) Geography,12,5,3,3,3,0,2
15,Aditi Mahavidyalaya (W),B.A. (Hons.) Hindi Patrakarita,9,15,8,4,7,0,2
16,Aditi Mahavidyalaya (W),B.A. (Hons.) Social Work,15,14,7,4,7,0,3
17,Aditi Mahavidyalaya (W),B.Com (Hons.),7,5,0,5,1,0,3
18,Aditi Mahavidyalaya (W),B.Com,16,9,4,3,4,0,3
19,Aditi Mahavidyalaya (W),Bachelor Of Elementary Education (B.El.Ed.),2,7,0,5,6,0,3
20,Aditi Mahavidyalaya (W),B.A Program (Hindi + Nhe),7,5,3,2,3,0,1
21,Aditi Mahavidyalaya (W),B.A Program (Hindi + Omsp),7,5,3,2,2,0,1
22,Aditi Mahavidyalaya (W),B.A Program (Hindi + Political Science),6,4,2,2,2,0,2
23,Aditi Mahavidyalaya (W),B.A Program (Sanskrit + History),16,12,8,4,6,0,3
24,Aditi Mahavidyalaya (W),B.A Program (Sanskrit + Music),8,4,3,2,2,0,1
25,Aditi Mahavidyalaya (W),B.A Program (Sanskrit + Political Science),5,5,3,2,2,0,1
26,Aditi Mahavidyalaya (W),"B.A Program (Advertising, Sales Promotion And Sales Management (Aspsm) + Economics)",7,4,3,2,3,0,1
27,Aditi Mahavidyalaya (W),"B.A Program (Advertising, Sales Promotion And Sales Management (Aspsm) + Mathematics)",19,11,8,4,5,0,3
